index|id|category|city|area|market_name|market_address|shop|pay_list|zone|user|pay_tool
44|50003527|['餐飲']|新竹市|東區|['早餐店', '餐館、餐廳', '冰果店、冷（熱）飲店', '咖啡館']|新竹市東　區光明里光復路二段１０１號|老玩客股份有限公司同食分公司|['LINE PAY']|桃竹苗|廖健妤|['行動支付']
45|50003601|['餐飲']|新竹市|香山區|['茶葉批發', '冰果店、冷（熱）飲店']|新竹市香山區香山里大庄路２８號１樓|丘森股份有限公司香山分公司|['街口支付']|桃竹苗|李家豪|['行動支付']
46|50004001|['餐飲']|新竹市|北區|['未分類其他家用器具及用品零售', '其他服裝及其配件零售', '茶葉零售', '冰果店、冷（熱）飲店']|新竹市北　區新民里西大路６５０號|奕大冷飲店|['街口支付', 'LINE PAY']|桃竹苗|陳俊運|['行動支付']
47|50004134|['餐飲']|新竹市|北區|['飲酒店', '餐館、餐廳', '冰果店、冷（熱）飲店']|新竹市北　區南寮里東大路四段２８６號|竹塹港大海撈水產|['台灣 PAY']|桃竹苗|曾富承|['行動支付']
48|50004142|['餐飲']|新竹市|東區|['餐館、餐廳', '冰果店、冷（熱）飲店']|新竹市東　區光復里公道五路二段４６９號後面|中山道日式簡餐|['台灣 PAY']|桃竹苗|黃炫人|['行動支付']
49|50004706|['餐飲']|新竹市|東區|['冰果店、冷（熱）飲店']|新竹市東　區仙水里光復路一段３７９號１樓|友善豆花舖|['台灣 PAY', 'LINE PAY']|桃竹苗|張時斌|['行動支付']
50|50004710|['餐飲']|新竹市|北區|['麵店、小吃店']|新竹市北　區北門里４鄰中正路１６１號|御用排骨酥麵|['台灣 PAY']|桃竹苗|徐智勇|['行動支付']
51|50004929|['餐飲']|新竹市|香山區|['冰果店、冷（熱）飲店']|新竹市香山區１鄰大庄路４６號１樓|大庄冷飲站|['街口支付', 'LINE PAY']|桃竹苗|黃韶婕|['行動支付']
52|50004950|['餐飲']|新竹市|東區|['未分類其他家用器具及用品零售', '其他服裝及其配件零售', '茶葉零售', '冰果店、冷（熱）飲店']|新竹市東　區東門里２鄰東門街１３９號|天然花茶冷飲站|['街口支付', 'LINE PAY']|桃竹苗|羅素卿|['行動支付']
53|50004964|['餐飲']|新竹市|北區|['視聽中心', '飲料零售', '飲酒店', '餐館、餐廳']|新竹市北　區大同里北大路１９５號２樓|凱若琍商行|['台灣 PAY']|桃竹苗|馬玉枝|['行動支付']
54|50005007|['餐飲']|新竹市|北區|['冰果店、冷（熱）飲店']|新竹市北　區客雅里延平路一段２６２號１樓|中華冷飲站|['街口支付', 'LINE PAY']|桃竹苗|鍾承穎|['行動支付']
55|50005108|['餐飲']|新竹市|東區|['飲酒店', '餐館、餐廳']|新竹市東　區榮光里信義街７２號１樓|巴富萊餐館|['LINE PAY']|桃竹苗|曾雅惠|['行動支付']
56|50005288|['餐飲']|新竹市|北區|['麵店、小吃店']|新竹市北　區西門里中山路１４２號１－２樓|廟口鴨香飯|['LINE PAY']|桃竹苗|李嘉偉|['行動支付']
57|50005290|['餐飲']|新竹市|東區|['冰果店、冷（熱）飲店']|新竹市東　區復中里民權路１４６號１樓|茗泰茶館|['一卡通', '愛金卡']|桃竹苗|鄭宇泰|['電子票證']
58|50005557|['餐飲']|新竹市|東區|['冰果店、冷（熱）飲店']|新竹市東　區復中里民權路１５５號１樓|大冠景茶飲專賣店|['台灣 PAY', '一卡通', 'LINE PAY', '街口支付']|桃竹苗|林怡琪|['電子票證', '行動支付']
59|50005565|['餐飲']|新竹市|東區|['餐館、餐廳']|新竹市東　區東區關新里關新西街６９號１、２樓|八庵日式料理|['台灣 PAY']|桃竹苗|吳國平|['行動支付']
60|50005567|['餐飲']|新竹市|東區|['冰果店、冷（熱）飲店']|新竹市東　區金山里金山八街７１號１樓|迷客夏飲品屋|['街口支付', '一卡通', 'LINE PAY']|桃竹苗|郭盈岑|['電子票證', '行動支付']
61|50005569|['餐飲']|新竹市|北區|['冰果店、冷（熱）飲店']|新竹市北　區中興里北門街５３號|易長利商號|['街口支付', '一卡通', 'LINE PAY']|桃竹苗|蔡易男|['電子票證', '行動支付']
62|50005570|['餐飲']|新竹市|東區|['餐館、餐廳']|新竹市東　區復中里民生路２１８號１樓|振瑄餐飲館|['LINE PAY']|桃竹苗|李育瑄|['行動支付']
63|50005571|['餐飲']|新竹市|東區|['冰果店、冷（熱）飲店']|新竹市東　區立功里光復路二段１００號|三層山餐坊|['街口支付', 'LINE PAY']|桃竹苗|陳芊芊|['行動支付']
64|50005576|['餐飲']|新竹市|東區|['冰果店、冷（熱）飲店']|新竹市東　區金山里金山八街４８號１樓|億豐冷飲商行|['LINE PAY']|桃竹苗|陳麗萍|['行動支付']
65|50005701|['餐飲']|新竹市|東區|['咖啡館']|新竹市東　區中正里中正路８６號１樓|九慕手烘咖啡專門店|['台灣 PAY']|桃竹苗|朱翰霆|['行動支付']
66|50005703|['餐飲']|新竹市|北區|['餐館、餐廳']|新竹市北　區水田里北大路１６６巷１弄２號１樓|金福越泰小館|['LINE PAY']|桃竹苗|鄒文力|['行動支付']
67|50005768|['餐飲']|新竹市|東區|['冰果店、冷（熱）飲店']|新竹市東　區新莊里光復路一段４４０號１樓|青宣茶行|['台灣 PAY', 'LINE PAY', '街口支付']|桃竹苗|梁迺福|['行動支付']
68|50005769|['餐飲']|新竹市|東區|['冰果店、冷（熱）飲店']|新竹市東　區軍功里建新路３４號１樓|享占苑茶飲專賣店|['台灣 PAY', '一卡通', 'LINE PAY', '街口支付']|桃竹苗|林怡琪|['電子票證', '行動支付']
69|50005772|['餐飲']|新竹市|東區|['麵店、小吃店']|新竹市東　區中正里東門市場１０６０攤位|享初食堂|['台灣 PAY', 'LINE PAY', '愛金卡']|桃竹苗|石博樺|['電子票證', '行動支付']
70|50005901|['餐飲']|新竹市|北區|['冰果店、冷（熱）飲店']|新竹市北　區南寮里東大路三段６８４號一樓|喜來樂商行|['台灣 PAY', 'LINE PAY']|桃竹苗|楊正儀|['行動支付']
71|50005902|['餐飲']|新竹市|北區|['冰果店、冷（熱）飲店']|新竹市北　區水田里中正路３５２號|米粒商號|['街口支付', '一卡通', 'LINE PAY']|桃竹苗|李梅琪|['電子票證', '行動支付']
72|50006302|['餐飲']|新竹市|東區|['冰果店、冷（熱）飲店']|新竹市東　區軍功里建功一路２８號１樓|文心飲品店|['街口支付', '一卡通', 'LINE PAY']|桃竹苗|王怡文|['電子票證', '行動支付']
73|50006665|['餐飲']|新竹市|東區|['咖啡館']|新竹市東　區關帝里西大路３６０號|九一咖啡坊|['台灣 PAY', 'LINE PAY', '街口支付']|桃竹苗|彭思淵|['行動支付']
74|50006667|['餐飲']|新竹市|東區|['飲酒店', '餐館、餐廳']|新竹市東　區光復里忠孝路６１號|牛鮮餐飲企業社|['LINE PAY']|桃竹苗|陳建彰|['行動支付']
75|50006669|['餐飲']|新竹市|北區|['麵店、小吃店']|新竹市北　區南寮里東大路三段４７９號１樓|燕珠小吃店|['台灣 PAY', 'LINE PAY']|桃竹苗|蔡恒輝|['行動支付']
76|50006737|['餐飲']|新竹市|香山區|['未分類其他家用器具及用品零售', '其他服裝及其配件零售', '茶葉零售', '冰果店、冷（熱）飲店']|新竹市香山區牛埔里牛埔東路２９２號１樓|天運冷飲店|['街口支付', 'LINE PAY']|桃竹苗|陳俊運|['行動支付']
77|50007206|['餐飲']|新竹市|北區|['餐館、餐廳']|新竹市北　區興南里勝利路２３７、２３９、２４１號|言初鍋物|['一卡通', '愛金卡']|桃竹苗|吳鎧丞|['電子票證']
78|50007211|['餐飲']|新竹市|香山區|['冰果店、冷（熱）飲店']|新竹市香山區香山里大庄路３號|允成商行|['台灣 PAY', 'LINE PAY', '街口支付']|桃竹苗|王瑋傑|['行動支付']
79|50007213|['餐飲']|新竹市|東區|['冰果店、冷（熱）飲店']|新竹市東　區軍功里建功一路４５―７號|創品商行|['台灣 PAY', 'LINE PAY', '街口支付']|桃竹苗|曾柏文|['行動支付']
80|50007263|['餐飲']|新竹市|北區|['麵店、小吃店']|新竹市北　區金華里光華東街４９―３號１樓|岩燒串烤店|['LINE PAY']|桃竹苗|吳峻毅|['行動支付']
81|50007264|['餐飲']|新竹市|東區|['經營網路購物', '餐館、餐廳']|新竹市東　區豐功里建美路４５號|錢自來綜合餐飲坊|['台灣 PAY']|桃竹苗|徐幼璇|['行動支付']
82|50007266|['餐飲']|新竹市|北區|['餐館、餐廳']|新竹市北　區中山里５鄰北門街４２號１樓|瀧渏日式拉麵|['LINE PAY']|桃竹苗|曾國堯|['行動支付']
83|50007267|['餐飲']|新竹市|東區|['麵店、小吃店']|新竹市東　區東勢里東光路８７號|昭裕商行|['街口支付', 'LINE PAY']|桃竹苗|宋之本|['行動支付']
84|50007269|['餐飲']|新竹市|東區|['餐館、餐廳']|新竹市東　區復中里錦華街１８巷２２號|皿富器食餐館|['台灣 PAY']|桃竹苗|廖祥哲|['行動支付']
85|50007270|['餐飲']|新竹市|東區|['冰果店、冷（熱）飲店']|新竹市東　區復中里民生路１３８號１樓|森米雞蛋仔專賣店|['LINE PAY']|桃竹苗|陳怡鈞|['行動支付']
86|50007273|['餐飲']|新竹市|北區|['餐館、餐廳']|新竹市北　區光田里東大路二段１５６號１樓|陳記胡椒豬肚雞|['台灣 PAY', 'LINE PAY']|桃竹苗|陳思妤|['行動支付']
87|50007705|['餐飲']|新竹市|東區|['餐館、餐廳']|新竹市東　區軍功里２鄰光復路２段４１０號１樓|十六區和風料理|['LINE PAY']|桃竹苗|劉耀武|['行動支付']
